Name,Date,Rate,Comment
Jane Doe,03/03/2019,3,Amazon always had a thing saying if I used this app that I would receive a $5 credit. So I used it for a while and never received the $5 credit. I preferred to use the other app because it ran smoother and had a cleaner look. Now I am being forced to use the inferior version. Way to force a downgrade amazon!
rene ferro,04/03/2019,1,every time I try to order something it just gives me a hassle. I am 60 years old and you know what some people need guidance. I hate this completely pain in the ass with the password all. Here's an idea provide a number where you can help people who could not care less at being tech savvy but just want to buy things
Mitchell Brown,06/03/2019,2,"The app is very slow. The app stutters a lot. The app is getting overrun by ads and ""sponsored"" items. Even though a product matches my search criteria exactly, you will be shown irrelevant items before you see what you've searched for. They need to make it easier to clear all searched history - without going through settings and different screens, or deleting one at a time."
KNoX,24/02/2019,5,"If you like shopping on Amazon then you'll love this! It's just like shopping on Amazon but instead of finding that pesky ""new tab"" button within your internet browser then painstakingly pushing it and, OOPS! you kinda moved your finger a little, try again! okay now you have to type ""amazonDOTcom"" then wait and finally, ahh 😖💩🤭👍🏼 ¡NOT NO MORE! finally you can just lightly blow🗣💨 on this beautifully crafted icon 💝 and POOF! like wakasaki magik you're whisked away to the magical land of 🤑"
Ashley Garcia,03/03/2019,1,"This app needs a major update! a lot of information i input gets lost and it looks like ebay on desktop in 2008. would love a dark mode as well? will change review when the new update comes out. come on man, you got *billions* of dollars. make that change!"
Charles R Harris Jr,24/02/2019,2,You have be careful dealing with Amazon especially if you pay for Amazon Prime. Late deliveries often. Promotional credits due with each Prime late delivery. Promotional credits do not appear on account. You must ask agent for amount of any Promotional credits issued to your account. Theses credits can only be applied to items SOLD SHIPPED BY AMAZON. You can find many of these if you limit search to AMAZON BASISC products. #BEWARE AMAZON WILL ACTIVATE PRIME ACCOUNT WITHOUT AUTHORZATION
David Hu,24/02/2019,3,"Functional but needs polish. Almost all essential functions are packed in the app. but the overall polish is just not there. The drawer menu is not adhesive to the left edge, the app icon is not adaptive (still legacy), app is a mix of native and web interface (which failed multiple time during my usage), the app functions are categorize in a weird way. This app is working, but that's about it. Could be better Amazon, considering you are not a small company anymore."
Hidden,20/02/2019,4,"Another update 20th February and still no biometric security for account management, come on Amazon it is time to do this, and it's not rocket science. No, 5 star rating till then. You are one of the worlds largest companies and your security updates are last century.... 🤔"
K Mcc,01/03/2019,1,"amazon is rapidly declining... terrible filter settings cause several items that aren't what you're looking for to show.... prime isn't prime anymore; two day shipping has turned into, more times than not, 4 or 5 day shipping. very disappointing."
Arnold Jereda,04/03/2019,5,"Just had a very bad experience with Best Buy on some speakers but thanks to Amason they saved my day. I've been a long time Customer through my wife's acct.. Best Buy promised me the moon, but came very short on the order, sorry Best Buy you lost a customer after I grave you my story to support outside business,and by the way your customer service blew it......thank you Amason once again you proved your worth."
Adair Gearhart,24/02/2019,1,"Like a lot of people, I order a ton of stuff from Amazon and have been a customer for years. I've never had any issues with it until I got this new app. It crashes, freezes, and generally glitches out almost every time I try to look for something or add to my cart. I've tried uninstall/reinstall, clearing caches, system updates, soft resets, you name it with no luck. This app is garbage."
brian spangler,28/02/2019,1,"The damn popup keep showing up when I look at my orders. All want to see is my orders! So this morning they closed or disactived the old app, nice move how many customers will you loose? Still sucks!"
Jaren3311,05/03/2019,4,"The latest update has made the app more responsive. They also fixed the two issues I mentioned previously: the ... button next to items on lists not working properly and adding items to lists from product pages. The only remaining problem is the bandwidth requirement; I doubt that will be addressed. Overall, I am very impressed with the recent update. Phone: OnePlus 2."
Beverly Stanback,19/02/2019,5,I've had nothing but positive experiences with Amazon from sign-in to receipt of my items. I subscribe to Amazon Prime and have Unlimited Kindle and take advantage of all they have to offer. I love that they are always working to be better. The update for Today's Bargains looks great!
freesh avocedoo,02/03/2019,1,Amazon is honestly terrible.. prime membership is a waste of money you're always getting ripped off. why cant we filter by things that only deliver to us instead of having to look through 3990 items that dont to find one that does?? Amazon really really really needs to step up honestly the only good thing about Amazon is the shipping times. other than that I would suggest shopping elsewhere cause they clearly are just money hungry and dont listen to their consumers.
A Google user,02/03/2019,1,latest upgrade deleted the ability to forward a product to a user not using the app from inside the app. Like through text message. why limit a customer's ability to buy products makes no sense. I'm going to have to delete this app so I can use a web browser. That's too bad
Austin,25/02/2019,2,"I'm on a Galaxy S7 and the app is terrible. it's incredibly slow and often unresponsive to touch, especially when adding items to a list. I often find myself hitting a button 20 times just to get something to happen. It's very frustrating and from what I've read it seems to be a popular issue. Not sure why one of the richest corporations in the world can't fix such simple problems."
A Google user,03/03/2019,2,"Yes it is possible to make purchases on this app. However, it is near impossible to navigate because of the intense lag. It goes so slow, and is so buggy that often times you have to close the app and open it again to get the buttons to work. I highly advise you to just order off of the desktop website. Needs a LOT of work."
Eric Stone,06/03/2019,1,"I absolutely HATE this app!! Crashes constantly. Used to work fine. They decided to add a bunch of animations and dog pictures, now it's all I ever see. I've updated it several times and it just seems to keep getting worse. I'll just use Amazon less. Shame."
A Google user,02/03/2019,5,I love Prime! It is worth every penny and has more than paid for itself. I have yet to b disappointed in my shopping or returns. We just spent a couple hours at the mall to buy Jean's for my husband. Couldn't find his size. Came home found them on Amazon and he even had a choice of colors.
Cesar Vazquez,27/02/2019,1,"Shipping is terrible. 1 day, 2 day, same day free or not, don't offer it if you can't deliver. I'm beginning to wonder why i shop here. you can get the same stuff from Walmart or Meijer online without the membership. And their delivery is on point."
Kathleen Culbertson,24/02/2019,1,"I've always preferred my desktop when shopping on Amazon, but the app came in very handy sometimes. Whatever they did has rendered it useless. I don't want Alexa in my face and I don't need a camera to search for things. I'm uninstalling."
Beth Richard,24/02/2019,2,"testy and challenging to use. add item to cart button stopped working, too... so now useless app. guess it's the proverbial straw to get me to stop using Amazon completely"
Brian Pivik,02/03/2019,3,"A bit laggy. I have prime and a few lists, but I don't see why it's so slow sometimes. Adding an item to my cart takes two presses and sometimes still doesn't ""take."""
Ashley Harn,05/03/2019,1,"The new update is extremely frustrating. The search algorithm is ridiculous. The previous version was a lot better. I could search for a product, and get really great results. Now? It seems like I get the same few search results. The way they changed the whole search experience just frustrates me. This is just about the app, I won't rate Amazon on the way they handle customers or orders, because this is just a review for the app."
A Google user,07/03/2019,3,The app itself if usually fine. I've had a couple issues with it freezing. I've had most issues with products that use UPS for shipping. Avoid them. UPS won't deliver your package on time and say they missed you even if you spent the entire day home waiting. Nightmare! I won't be buying products with that carrier again.
Kylie Sabra,04/03/2019,1,I'm not sure why we had to get rid of the old at. I never had a moment's trouble with it. Now I have nothing but trouble. The new app locks up constantly. I have to stop it restarted stop at restart it... Please fix it.
Michael Stone,23/02/2019,2,"For me this App. is brilliant. Works most of the time. Although recently i've noticed it's getting to be quite slow but at least it works! Update 23/2/19 Since the update it has got much worse. Yes i can still order goods but the wish list doesn't work properly, going back to the previous screen is difficult, it's become so slow that i'm waiting quite a while for it to open and other issues. Hope it gets sorted as this is the only app. i use to buy things."
John Chase,24/02/2019,3,I reinstalled this app hoping it would now work. I'm not sure if it is the poor quality of Hughesnet or if your server is overloaded but the buffering icon is too familiar. At one time the transmission was fast. No longer.
Keith Stackhouse,23/02/2019,2,"enngh, crappy. all that is provided is a shipping service. If you don't pay for prime they delay. For a week. You know what, I'd rather just buy from the manufacturer. Or a company that does not push a service. Wall Mart and home Depot aren't doing that with free shipping."
Cora Soleil,02/03/2019,1,My family is very upset by the recent decision to remove vaccine related documentaries from Amazon Prime! This is an issue of censorship which has NO PLACE in a free country! We are American citizens and we do not appreciate being manipulated like this. The truth cannot be censored! Information created by free citizens should be available to everyone. It is not Amazon's job to decide what information people should or should not see and believe.
Kharryn Albert,01/03/2019,2,I love this company but i hate that they always deliver my stuff to the neighbours. Its really a block of time cause I never know what time the next neighbours are going to get home. This company absolutely needs to stop this bs. Im getting frustrated now.
Yashica Jang,07/03/2019,1,I dont think Amazon is relevant anymore. It did not ship my orders because it needed me to send in my billing address and card number. I did and its still not shipping my order. I hope someone makes a new online shopping website. amazon AMAZON IN NOT THE BEST AT ALL.
padraic maughan,26/02/2019,1,"used to love this app but after a recent purchase, it's been a shambles of a service. During that purchase-at checkout, I was informed that delivery would be 1-2 days. After patiently waiting for 2 weeks, I contacted the seller 3 times only to be told each time to wait. I then contacted amazon support who kept ending the online chat conversation and were not interested in helping me at all. Amazon have changed for the worse unfortunately, won't be using them again."
deluzionalme,03/03/2019,3,"Every order I have placed or tried to place since Nov 2018 has had a problem. Amazon problems, not 3rd party issues. Never have I been so frustrated and angry with a company, when making a purchase. I used to consider Amazon a good, reliable and helpful source. I don't anymore. 🤨 😠"
Erica Sentire,03/03/2019,1,can i buy somthing with out singing in pleas. i can sing in i know my pass word you got to much security. havent been able to buy any thing 6 mouths . i will go to ebay if i have to. pass word is enough. cant sing in. i got help and its did not help.
Juliana Stockton,03/03/2019,4,"Is the intresting finds being updated correctly? When I open it, it still has things from over a month ago listed, and it says ""updated daily"" right at the top.Is there a problem on my end,or with the app? (I've tried updating the app itself,nothing changes)"
Karin Wilcox,27/02/2019,3,the new app update has made this app conpletely useless on my home wifi. its the only app that has done this and ive had a tech here to check my service. afger the most recent update it will no longer work on my home wifi at all. but works fine on verizone lte.
Christopher Digby,23/02/2019,1,Who in the #### created the wishlist tab at the bottom? Where do they reside? It has ruined my shopping experience on the app. I cant scroll without it taking over conpletely! As if im holding every single item when I just want to scroll down!
A Google user,06/03/2019,5,"Why is two day shipping 3-5 days now? and why does it cost extra to buy a prime item, if you're already paying prime membership? Amazon, you are ripping people off. we're canceling our membership"
Daelynn Belden,05/03/2019,4,"Overall, this is a fairly good app. I rarely have trouble with it, and Amazon's customer service associates, who can indeed be contacted via the app, are very helpful. My biggest gripe is that I wish you could set a custom price range when you are searching on the app, like you can on the website."
Catherine Edwards,23/02/2019,1,"UH-OH. Something went wrong... Amazon, what is up with the constant oh something went wrong messages on this new version of your app? It is darn near impossible to find or view products with the version I just downloaded this morning. I thought it was something wrong with my phone, but no - this morning's download is just as bad as the one I downloaded last week!"
Amitabh Suman,27/02/2019,1,"Amazon India is the waste. I order my products and trying to contact the customer care, no response. Only few option to choose from. No direct resolution. Amazon you are escaping from your responsibility. Poor service. No more Amazon."
Harry Myer,27/02/2019,5,"always works, love the lists, Prime two day shipping essential, return policy makes for a happy experience. loads fast, page is usually easy to navigate. love the prpduct compairsons, when all the info is there. Need to use larger type font and never use gray for font, cant read it. I never buy online of anyone else, just not safe nor as easy."
Love Child,01/03/2019,1,"Only works for me 50% of the time. Freezes often. Its hard to shop and enjoy this app, it becomes very stressful. This is the only app I have issues with. Refreshing and updates dont help! I almost hate it. Happens more when Im on wifi."
Christopher Bennett,20/02/2019,3,"Great app that I use almost every day, would be better if there was an option to use Amazon Smile. annoying to add things to my basket then faf around with the browser to Smile checkout."
Laura Brown,03/03/2019,2,my first time ever ordering from Amazon. I needed my washer part today and paid extra to have it by today 3/2/19 and it didnt show up. now they are saying it might be sunday thru Tuesday?!? I ordered I think 5 items. but it took 3 different shipments.I got amazon prime to be able to receive sooner! I'm so dissatisfied and disappointed!!! I definitely will cancel my subscription & wont order from them again! my step dad orders from them & has had problems lately
Jeremy Sumrall,02/03/2019,1,"This app has taken a nose dive. I'm a long time Amazon user, and lately, starting up the app and clicking the SEARCH FUNCTION causes it to crash IMMEDIATELY. I can view my old orders just fine, but anytime I try to use the SEARCH FUNCTION causes the app to crash WITHOUT FAIL. You can imagine how frustrating that can be. FIX THIS."
jd smith,07/03/2019,2,"Decent app, if you don't mind getting scammed whenever the free Prime is up. They don't notify you whenever you're Prime is about to be up, even if you select the option. Just another way for them to make money off of unsuspecting people who don't pay close attention."
A Google user,23/02/2019,3,"Good but flawed. Search option is useless and the filters are terrible. Also, Amazon knows that I'm in Ireland and insists on returning options that don't deliver to Ireland. This is so annoying because you think you've found something only to be told in bold red letters that they won't deliver to Ireland."
Matthew Eskuchen,06/03/2019,2,"Can't say how often I open Amazon through a notification, try to switch apps to research the item and then try to switch back to Amazon only to find it's not open in the background. Was just going to submit a question about an item, but jumped to chrome to check facts and couldn't get back to Amazon app to submit my question. ugh... now i have to go find the item and type question again. Also, I'm certain I've reviewed some items via the app in the past that no longer have my reviews."
T Sherwood,28/02/2019,2,"I am a long-time Amazon customer, but I must call out Amazon's awful Android app. There simply is no excuse for its bugginess and uselessness in certain product searches. I will focus on two problems: 1) Product searches. For example: How is it I can search for a book titled simply ""Macklin"" and said book, which IS sold by Amazon, comes up nowhere on the first few pages of results? Try it and see. 2) The ""Content and Devices"" page IS UTTERLY useless. Try it yourself. It simply hangs, full stop."
Tim Emmitt,01/03/2019,3,"Amazon censors negative reviews about its own products. I tried to post a review about the Amazon Fire Stick, stating only plain facts, with no obscenities, and they rejected it because they claimed it was about the ""seller"" not the ""product""."
Sylvain Lecours,26/02/2019,3,"there is a bug that makes the app hard to use, whenever we have to chose color or size for an item, when tapping the done word just above, nothing happens. the color/size selectopn stays on screen and am stuck there. have to go on web version instead to be able to complete my selection"
Pegg Bauer,02/03/2019,1,"Amazon has given into political pressure (likely with a handsome cash payout) to censor products that refute the Big Pharma's unsupported position that all vaccines are ""safe and effective."" This is the electronic version of book burning. What right does Amazon have to censor my reading/viewing material as long as it is not illegal? Disappointed (understatement) in Amazon, and am rethinking my reliance on it."
Nicole Mitchell,03/03/2019,1,"I used to love my membership and recommended amazon prime to everyone. I loved my 2 day shipping that made mom so much easier, but in recent days you have decided to control what others are able to buy and watch and have taken away our right to freedom of speech. What you have done is unAmerican and goes against everything our founding fathers and our soldiers have faught for. I cannot stand by a company that believes in censorship, so I'll be supporting those who believe in our rights."
Bonny Kadimo,24/02/2019,3,Quite dissatisfied with the lack of choice for my region. Can't fault the app though. It works as it should. Just wish Amazon could expand its global store.
D H,23/02/2019,1,"It keeps showing me prices for the items I search, and but after I click the item, the price jumps up by several dollars. Stop the bait and switch and dishonesty, because all it's going to do is cost you a Prime member. I also can't stand the unwanted notifications for suggestions on stuff I don't use. I might search for stuff for orhers for their birthdays, but it doesn't mean I want a dozen suggestions for it either."
Shalee Michelle,21/02/2019,3,"My ""interesting likes"" aren't refreshing at their usual rate, despite all of my efforts to heart/like different things in an attempt to jog the algorithim. It's been showing me the exact same suggestions for at LEAST 2wks now, so needless to say, I'd definitely appreciate a fix for this issue. I'd happily adjust my rating to 5 if it's fixed. Thanks. UPDATE I wrote this review on February 9th and there's still been no improvement. It's still showing the same suggestions after roughly 4+wks. FIX."
Alec McLaughlin,24/02/2019,1,Very glitchy on note 9. It wont let me add things to my cart frequently and certain buttons/links are unclickable.
Shiyanbola Idris,02/03/2019,1,My order was cancelled and my gift card balance was deducted after making an order. I tried reaching the customers care service but no response. Too bad for Amazon!!!
Benjamin Aguilar,23/02/2019,5,"So far I've been completely satisfied with Amazon, any items I was dissatisfied with I was able to return them and get my refund. And everything I've kept I'm happy with. I'm always looking here for more good deals. Keep it up Amazon, I've been recommending you to all of my friends. ( both of them (j/k))"
ImDaJuggernaut AkaJuggs,02/03/2019,5,"Love the simplicity of having everything at my fingertips through the app. No more going on the computer to try to find stuff, and I love the instant notifications through the app when my items are bought and shipped. Thanks!"
A Google user,20/02/2019,1,I find this app very difficult to use and the items and departments almost impossible. The previous version had it's limitations but was far better than this latest one. in
Mikki Evans,05/03/2019,2,Very laggy and buggy. To search more than 1 item I have to close out of the app completely and reload it every single time.
Tish Roberts Guel,22/02/2019,2,"App worked beautifully until 2 weeks ago. Now, when I try to check out it gives me password incorrect errors where the browser works just fine with the same login. I need both to function as I use my family account in one and my private personal account in the other. Rather than constantly switch login info, I have just started using outside retailers when I need something and will continue to do so until this issue is resolved. *Note: Uninstall/reinstall and PW reset did not work ."
Kristen Rudd,06/03/2019,5,"I shop almost everyday, and I don't have any regrets!!!! Our county has one Walmart. We have few over priced local businesses. But, other tgan beimg over priced, they hardly carry anything useful, or interesting!!! I LOVE MY AMAZON!!! Sincerely, Kristen Rudd Hopkins county, Kentucky"
Toby Crowther,06/03/2019,1,"Before now I had no problems with the app. However, up until a few weeks ago I started getting an issue where whenever I open the app it showed a dog and said ""Uh oh, something went wrong on our end."" I thought, okay I'll wait. The app will probably update and it will be fixed. Fast forward to today, I contacted Amazon for the 2nd time. I was forwarded to around 7 people in total to only tell me there was little they could do. They then put me on hold and hung up the phone. Time to cancel prime."
A Google user,06/03/2019,2,"I use this app once a week and it's awful. I find I have to flip to the browser version half the time just to get around its horrible ability to search. Its search is so weighted and verging to outright lying to you. from not finding products, to hiding them deep in a list. the same criteria on the website will give you a very diffrent picture. I still use this app for a few convenient things, but never for research."
Chris McDivitt,01/03/2019,1,"update: Almong the worst apps I've every used. After over a year this app is still a horrible experience. It's really laggy and slow overall. I usually have to touch the button 3-4 times to view item details, add to my cart, or view the description; sometimes it doesn't respond at all (using a Pixel 3 phone). It's extremely frustrating."
A Google user,23/02/2019,2,different prices for the same item... *** only 10 items left must buy now then it goes back to normal after you aquire the item.***
A Google user,25/02/2019,1,"Slow, often non-responsive, crashes every other time I try to use it. Complete and utyer garbage, go back to the old app that was clunky but functional."
Greg Malley,02/03/2019,1,"Saved Christmas gift cards for 2 years, then when i found something i wanted and had enough money saved up, i tried to use the gift card. Amazon locked my account and when i called customer service they said they couldnt open my account because it was sent to their fraud department and they refused to transfer me there to verify it was me making the purchase on my account. They also told me it would be 3 days before they could verify my purchase was me. No more Amazon gift cards for me!!"
des des dance,26/02/2019,1,this app has been glitching like made lately. it won't even be running and i will get error messages popping up on my phone. saying the Amazon app is not working...sheesh frustrating.
Steele-Wool,20/02/2019,4,"Update: After some updates, this app is much easier and more pleasant to use. It's not perfect and it still has hiccups, but overall a good improvement. *Old Review*: Amazon as a site is great, but this app is very unresponsive and slow at times and makes browsing/shopping very frustrating. It's easier just to go to the site on my computer or using the web browser on my phone rather than using this app."
Jon Plumley,24/02/2019,1,Associated apps not working. items bought from original Amazon app telling me to sign in to use them. I am signed in but the apps don't seem to recognise it. e.g. ultimate guitar
Sydnei Tomlinson,02/03/2019,1,I loved my prime account until Amazon started censoring the films they offered. It's shocking how quickly they will remove movies when pressured. Modern day book burning. #bringbackvaxxed
awhbordeaux,20/02/2019,1,The Android app £5 voucher offer doesn't work. Tried to buy several Amazon products but the voucher is never applied to the final price. What a fraud.
Hannah Stephenson,22/02/2019,2,I am VERY upset that the orginal app preinstalled on my phone cannot be deleted. I now have an app taking up valuable space on my phone. Why couldnt the orginal be adapted?
Pauline McRae,20/02/2019,5,"AMAZON IS NO. 1 🌹🌹HAVE BEEN ORDERING FROM AMAZON FOR 19 YEARS 🎁! BEST ON LINE STORE ,THEY SELL EVERY THING MUCH CHEAPER THEN MOST STORES. PLUS I HAVE PRIME MEMBERSHIP HAVE TO RENEW ONCE A YEAR , GET PACKAGE IN 2 DAYS. ALSO HAVE PRIME NOW MEMERSHIP INCLUDED & ALSO HAVE MUSIC IN MOVIES ! DELIVERY IN 1 HOUR FEE 7.99 OR 2 HOURS IS FREE DELIVERY ! BUT ASK THAT TIP THE DRIVER ! PLEASE CHECK IT OUT WON'T BE SORRY ! THANKS AMAZON. @---)--- @---)--- Ms. McRae 🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷"
Cory Nixon,26/02/2019,4,"love the app. but I can't understand why everytime I open it, it wants to be updated, so I say install, it flashes over to the playstore with no option to upadate, and only 'open' and 'uninstall' are the options?"
Theuns van Dyk,04/03/2019,3,"i love amazon, the simplicity and variety, but this new app sucks! i keeps crashing and crashing my phone. the previous app worked perfectly well. can we have that back please?"
AHK Al-Kaabi,04/03/2019,1,The worst shopping experience I got from this app I spent almost 2 hours to figure out why I can't place order whenever I place it give me can't process your order check local address and wrong payment method. 2 I tried to use reload the Amazon balance thing it said ur process been completed and it removed my payment method.... I tried AliExpress and souq they never say to me check ur info.
Dante Grimm,06/03/2019,1,The app constantly fails to connect. you need 4G or Wi-Fi for it to work. makes it useless for a mobile app.
Jessie Tin,25/02/2019,5,"I buy for everyone at home and the pets. I buy on my lunch break, before bed (in pajamas), or right then and there if I see something is low at home. Within a couple of days it's dropped off at my front door. I haven't had any problems with products. Products are exactly like store bought. There are also way more options and discounts, on here, than at stores. This has really freed up my time and money. I don't have to spend half of my day off, going from crowded store to crowded store."
Lun3y Arevalo,27/02/2019,1,I pay membership for years and realize they hand out info threw 3rd part somehow my packages are being forward to different addresses without my acknowledgement of the seller or Amazon I will not accept that. so finally I will cancel my subscriptions over the years. for this reason.
Dan Watson,28/02/2019,2,good site for buying. only down side is app is very unstable. keeps crashing out after a few moments. only usrful if you know what you want and don't want to browse.
Dale Pickett,21/02/2019,4,"I love Amazon, but, this app keeps asking me to install because it will not be supported 😣, it's a pain. This just started happening every time that I open it. Here we are over a month later (2-21-19) an the app is still "" not supported ""! 😣😣😣 MAJOR PAIN!!! FIX IT ALREADY!!!😠😠"
Jeanne Tomanio,02/03/2019,4,the app works pretty well for my shopping needs but now crashes a lot on my android and eats up battery life supposedly. It flashes a lot which is a little annoying. Not sure why :(
A Google user,03/03/2019,1,Horrible Customer Service! I will not be spending any more money with this Company!
A Google user,04/03/2019,1,"even when I explicitly disabled it, all links from other Amazon countries try to open this app which in turn will ask me to change my country and do nothing when I select No. So I basically cannot check other Amazon's orders on my phone"
Lalena Hernandez,21/02/2019,4,"I like having this app on my phone, I dont like that there is not an option to sign out front and center. i shouldn't have to take 3 extra steps to protect myself, my identity, and my money."
Erica Zarifovic,22/02/2019,4,"Love the app and the convenience of it, however is there an ad free version available for purchase? Tired of random ads FREQUENTLY popping up on my phone."
